,compound,neg,neu,pos,id
0,0.0,0.0,1.0,0.0,--XQAK7NhUs
1,0.996,0.065,0.776,0.16,-2RStr_KtP4
2,0.8057,0.0,0.916,0.084,-4MagUTyp3Y
3,0.9998,0.024,0.771,0.206,-8KntVmm2r8
4,0.9943,0.009,0.954,0.037,-ADzNjgctho
5,0.9996,0.019,0.86,0.122,-BLi-VxE--Y
6,0.9999,0.068,0.742,0.19,-CwoylxqVPA
7,0.9995,0.07,0.833,0.097,-Ej5qLcmzv0
8,0.972,0.007,0.965,0.028,-Fpxa4tXO9A
9,0.971,0.015,0.941,0.045,-G5a15ZG4SU
10,-0.9838,0.064,0.902,0.034,-I6UKZqb5hg
11,-0.9979,0.063,0.898,0.039,-IS_WCRq5BY
12,-0.6734,0.005,0.995,0.0,-Iebjs-48-s
13,-0.8035,0.024,0.964,0.012,-KYYL3kMctc
14,-0.9806,0.048,0.934,0.018,-OKR-qL54tU
15,0.7882,0.023,0.948,0.029,-QYvsZCiiNs
16,0.0,0.0,1.0,0.0,-RErLff9BQ8
17,-0.9795,0.033,0.951,0.016,-Sn68BnMAJc
18,0.0,0.0,1.0,0.0,-_BJRh0gW9c
19,-0.9995,0.09,0.886,0.023,-db1Tu28nSM
20,-0.9929,0.027,0.963,0.01,-egZmn2kJzo
21,0.9893,0.008,0.952,0.04,-iCEdhWzqeI
22,0.0,0.0,1.0,0.0,-j6q2dwWFhU
23,0.9998,0.031,0.742,0.227,-kyqE2Nq3pc
24,0.9938,0.019,0.925,0.055,-ozmpOa_lS0
25,0.9944,0.003,0.964,0.033,-qzfbjHtOLM
26,0.7191,0.07,0.841,0.089,-rCT2Wm3wWQ
27,0.9989,0.029,0.918,0.053,-w3iYPvbY2Y
28,0.9975,0.0,0.92,0.08,-xhZAoE9sLs
29,0.9608,0.02,0.945,0.034,-yTbVC95GAk
30,0.8343,0.027,0.879,0.094,03jDAXqaowk
31,0.9989,0.111,0.736,0.153,06DwCNuWug8
32,0.8257,0.024,0.917,0.059,0FbApS8Nhik
33,-0.4617,0.023,0.964,0.014,0FwaWiVppIY
34,0.7488,0.025,0.9,0.075,0GFF0iHyYbU
35,0.9989,0.0,0.982,0.018,0I02vlhj84c
36,0.8798,0.0,0.995,0.005,0IWd2Ln1Rdo
37,1.0,0.05,0.748,0.203,0LA5ausInlw
38,0.8748,0.005,0.946,0.048,0MVWqjb2_zI
39,0.9944,0.002,0.937,0.061,0OnZ34l-HW8
40,0.0,0.0,1.0,0.0,0PWma3841LI
41,0.8427,0.033,0.926,0.041,0Pap39_cXOs
42,-0.9968,0.097,0.865,0.038,0QVOhB3MfqE
43,0.7998,0.0,0.974,0.026,0XtptEn558g
44,0.8504,0.0,0.989,0.011,0_TDIMuaxdY
45,0.9048,0.024,0.943,0.033,0ax8f7DcUmg
46,-0.9939,0.044,0.945,0.011,0cIyhZqy75o
47,-0.9524,0.022,0.959,0.019,0cwVTshRIGo
48,0.9885,0.01,0.952,0.038,0dKlfdtWzzc
49,-0.9231,0.011,0.987,0.002,0i4e32SlbIw
50,0.0,0.0,1.0,0.0,0inO04u_zrw
51,0.9993,0.041,0.794,0.165,0ktXwOZbhC4
52,0.9998,0.066,0.673,0.261,0lyR5kRL52E
53,1.0,0.064,0.765,0.171,0n9ITSKRAMA
54,0.8118,0.0,0.995,0.005,0niPLpPydp0
55,0.3875,0.0,0.976,0.024,0pKGpgArRP8
56,0.9999,0.023,0.916,0.061,0rrN1Qmpnbg
57,0.999,0.072,0.753,0.175,0v9EIaN4Nzo
58,1.0,0.047,0.669,0.284,0vclPca_UkU
59,1.0,0.047,0.707,0.246,0zXfDafyyao
60,0.9995,0.015,0.818,0.167,12jj-kZSCAE
61,0.994,0.004,0.961,0.034,12lxpp7Eq0g
62,0.8902,0.0,0.995,0.005,14KJSGbNlt0
63,0.9731,0.013,0.945,0.042,18F50u0PqTw
64,1.0,0.048,0.686,0.265,1Bbv-uFJSZI
65,0.9426,0.0,0.99,0.01,1GnESYYZUYQ
66,0.9999,0.007,0.899,0.094,1JlLi9pDaJE
67,0.9731,0.0,0.994,0.006,1OkXaiBNfFc
68,0.9603,0.003,0.985,0.012,1TdQH38RSYY
69,0.9992,0.005,0.881,0.115,1W9V9TjoL8M
70,-0.798,0.013,0.983,0.004,1Yp26uhXy04
71,-0.994,0.016,0.976,0.008,1bJCsGJUqg0
72,-0.9916,0.052,0.926,0.023,1c1Pew0dghs
73,0.0,0.0,1.0,0.0,1hEaLr2XB7E
74,0.9992,0.059,0.759,0.182,1kEpZCtRhPA
75,0.9936,0.01,0.941,0.049,1nR84q0RAEY
76,1.0,0.076,0.671,0.253,1n_cPIhag28
77,-0.9938,0.041,0.949,0.011,1oPRJw2bxuE
78,0.0,0.0,1.0,0.0,1p-NMEBMdKg
79,0.9912,0.012,0.925,0.063,1sBCe9of4KM
80,-0.9902,0.034,0.957,0.01,1tksCM9PesI
81,1.0,0.071,0.723,0.206,1vpzyzfQdsI
82,0.9991,0.052,0.79,0.158,20IOYT25Tto
83,0.7922,0.0,0.993,0.007,2DCAtqXQX1I
84,0.8923,0.016,0.951,0.032,2D_7xx600lw
85,0.9952,0.054,0.857,0.089,2DjilozKJnk
86,-0.9999,0.049,0.925,0.026,2E55xvU1Ajs
87,0.9957,0.006,0.931,0.064,2GQVCpk0z7Y
88,0.9999,0.015,0.93,0.054,2GciQpGoltM
89,0.9999,0.024,0.762,0.214,2H-k11vs8-s
90,0.8453,0.013,0.969,0.018,2LDW2WDobEg
91,-0.703,0.009,0.988,0.003,2LttwF2uOKs
92,0.9754,0.0,0.984,0.016,2MbqkT3yxeA
93,-0.794,0.032,0.944,0.025,2MpndHkDBwE
94,0.0,0.0,1.0,0.0,2NWRvGnpUAU
95,0.8634,0.0,0.986,0.014,2QN1vmuoki8
96,1.0,0.063,0.785,0.152,2QrEBEbIl4A
97,-0.8089,0.014,0.981,0.005,2Swsf75FuQ0
98,-0.999,0.047,0.923,0.03,2VUaXA-uLF8
99,0.9997,0.026,0.936,0.039,2W2J30ZkaG0
100,0.9859,0.015,0.953,0.032,2_Vrl2fLY1M
101,-0.786,0.116,0.783,0.1,2_ivukEteDg
102,-0.8269,0.029,0.948,0.023,2ackns42yn0
103,1.0,0.099,0.694,0.207,2b6-vsEi58w
104,0.9914,0.0,0.957,0.043,2bzUxfp8_lE
105,0.8671,0.0,0.978,0.022,2dri-6t7VeM
106,-0.9385,0.005,0.995,0.0,2g2eti7GnRY
107,0.9937,0.0,0.943,0.057,2gjoDu8SXkg
108,0.9541,0.042,0.904,0.053,2i_G2m0vP6U
109,1.0,0.106,0.766,0.129,2of5Y3Z7VCE
110,0.9236,0.0,0.987,0.013,2qDMXjAVy34
111,-0.9999,0.047,0.929,0.024,2qcfps-ZW3A
112,0.9995,0.026,0.906,0.068,2sLiHrjopvE
113,0.4199,0.0,0.998,0.002,2sQatnIfPI8
114,0.993,0.008,0.927,0.066,2tSUVWC5q-A
115,-0.9976,0.056,0.918,0.026,2tjYDu085sQ
116,-0.9964,0.05,0.923,0.027,2tkTd872IpM
117,0.7575,0.011,0.972,0.018,2wmH-8vqtjc
118,0.9998,0.021,0.873,0.106,2xDaFsE8M5Q
119,0.9641,0.02,0.958,0.022,30pyRH9KNkY
120,0.8729,0.023,0.956,0.021,32ftlUuoRHQ
121,-0.8963,0.003,0.997,0.0,34miIdWnFSU
122,-0.9667,0.028,0.961,0.011,35tl94IWH8o
123,-0.9992,0.055,0.927,0.018,378zlkjLEuc
124,0.9993,0.065,0.751,0.185,37jHStzD6jc
125,-0.8427,0.01,0.99,0.0,39TzzjPmQbg
126,-0.9996,0.051,0.916,0.032,3Cp12CLQmok
127,0.973,0.015,0.955,0.03,3FVf9yo4f1c
128,0.9787,0.011,0.944,0.045,3GC0G2wEEqQ
129,0.9994,0.049,0.9,0.051,3HJhl83HGWk
130,1.0,0.02,0.664,0.316,3IEi1afAp5g
131,0.9015,0.0,0.956,0.044,3PHyVpDDvvI
132,0.0,0.0,1.0,0.0,3SLBKRs8C_0
133,-0.9998,0.045,0.92,0.035,3W8Ylhm4_8Y
134,1.0,0.099,0.733,0.169,3Xl0Qr0uXuY
135,-0.819,0.005,0.995,0.0,3YCfdDOfQCU
136,-0.9874,0.028,0.961,0.01,3YScGZy3wVs
137,0.9936,0.013,0.964,0.023,3cGtj77qDJI
138,0.9784,0.016,0.948,0.035,3et7U1j5NhY
139,0.9997,0.035,0.791,0.174,3fDlXpFVZ10
140,0.9993,0.082,0.775,0.143,3fxQ7VlYX6M
141,0.9948,0.008,0.947,0.045,3jOnyucPD5c
142,-0.9685,0.138,0.738,0.124,3jpxCvt7XAY
143,0.0,0.0,1.0,0.0,3oG91wFr364
144,-0.9963,0.073,0.919,0.007,3s9ia7ldY94
145,0.9408,0.016,0.951,0.033,3uSLGRau1jE
146,0.8963,0.0,0.985,0.015,3xtvP7iU03E
147,0.9999,0.073,0.737,0.19,3zJrYlCJpgY
148,0.0,0.0,1.0,0.0,43nmtMr8kQw
149,0.9938,0.006,0.924,0.07,49J7lw6Cx40
150,-0.9977,0.067,0.918,0.014,4Fb2Lv5KTuk
151,0.9999,0.077,0.721,0.202,4G4nBbBx_LU
152,0.9958,0.01,0.943,0.047,4KAFw4kd4pk
153,0.9895,0.026,0.921,0.053,4KEcBJxFzNI
154,0.9995,0.058,0.772,0.171,4NKoEN4D2wA
155,0.9474,0.01,0.959,0.031,4TC-jeSRRlo
156,-0.9464,0.028,0.961,0.011,4VRWmE9Hir0
157,-0.9998,0.139,0.77,0.091,4VTOplLl2BM
158,0.9853,0.004,0.957,0.039,4_7uCRg9JIc
159,-0.5414,0.045,0.907,0.048,4h13U_F79TU
160,-0.9967,0.063,0.9,0.037,4iExma_PfHI
161,-0.9976,0.092,0.882,0.026,4iqrnl_7-FI
162,1.0,0.044,0.833,0.123,4jmMWohs1XM
163,0.9951,0.011,0.933,0.056,4k8gJHe6loo
164,0.9655,0.056,0.856,0.088,4oOoC36f9II
165,-0.8405,0.012,0.983,0.006,4qrdtUX4Ezo
166,1.0,0.064,0.71,0.226,4t4-mBexJ1g
167,-0.9007,0.036,0.943,0.021,4uKKO0W8iRk
168,0.977,0.006,0.964,0.031,4vGwkMTvDik
169,0.9985,0.022,0.879,0.099,4zJ4i6Az2Ck
170,0.9957,0.009,0.929,0.063,504bJ-qMZxI
171,0.8529,0.0,0.988,0.012,50tfSSueHFg
172,0.9998,0.029,0.885,0.086,51-4_DItCio
173,0.9964,0.13,0.708,0.162,51kha_drAK4
174,0.9982,0.001,0.982,0.016,54h9ULtAir4
175,-0.6031,0.028,0.949,0.023,57AdP4RmSNk
176,0.8466,0.0,0.991,0.009,58_c0gcAHMU
177,1.0,0.046,0.687,0.267,59cPZzpoEKQ
178,0.6031,0.013,0.978,0.01,5CaQXdS68LM
179,-0.9182,0.197,0.719,0.084,5DElhPMvPV8
180,-0.9976,0.061,0.931,0.009,5E6bZFcpPqY
181,0.9904,0.014,0.936,0.05,5H3KmoNxWdc
182,0.9838,0.004,0.975,0.022,5IGj80uA5cM
183,-0.9957,0.045,0.93,0.025,5LVcU13NcWg
184,-0.9997,0.04,0.938,0.022,5NQGsgYRDns
185,0.9974,0.005,0.988,0.007,5OAysfkcMjg
186,0.0,0.0,1.0,0.0,5YTVx6iQbAI
187,0.9845,0.014,0.948,0.038,5c9aBYZ7_kQ
188,0.9988,0.027,0.794,0.178,5eUrFAhfI84
189,0.9995,0.035,0.919,0.045,5fY6W2QaU88
190,-0.8269,0.035,0.939,0.026,5jUophE9ahQ
191,-0.9997,0.111,0.873,0.015,5k7NIhKz5_M
192,0.9995,0.052,0.806,0.142,5kwb4aFuGWk
193,0.0,0.0,1.0,0.0,5p07uIxgkSM
194,-0.9998,0.088,0.887,0.025,61xkVmroX7Q
195,-0.9983,0.097,0.857,0.046,64_sBpcbVzE
196,-0.9002,0.029,0.963,0.008,65EmDrNbDF4
197,0.9969,0.0,0.935,0.065,65Mya8pFAfk
198,0.9885,0.026,0.943,0.031,66rL1hJOBLU
199,0.9998,0.071,0.739,0.191,68c1RmFZQeQ
200,-0.8758,0.064,0.884,0.052,6ADwxAX0j1s
201,1.0,0.099,0.762,0.14,6E3RK7FGaRs
202,0.9077,0.0,0.997,0.003,6EA9L3pC7yY
203,0.9674,0.0,0.99,0.01,6Egbt1RxKAQ
204,0.0,0.0,1.0,0.0,6G_TX39hgHM
205,1.0,0.075,0.664,0.261,6KB71UI2iWM
206,0.0,0.0,1.0,0.0,6KrKEOY84kw
207,0.9931,0.013,0.891,0.097,6LAz_2ES1a8
208,1.0,0.011,0.954,0.036,6Nm9GOAmZgk
209,0.7623,0.0,0.965,0.035,6PFAlZgmccs
210,-0.9174,0.009,0.988,0.003,6QqilKy3jb4
211,0.9634,0.002,0.978,0.02,6RCsvMCK68k
212,0.9899,0.012,0.93,0.059,6Tj5JA_xAzI
213,0.9964,0.009,0.899,0.092,6X3C6we4-u4
214,-0.8061,0.016,0.971,0.012,6f9mZOG38Ss
215,0.9996,0.04,0.748,0.212,6g3EanTqoOA
216,0.9671,0.032,0.932,0.037,6g3lDaYygow
217,-0.8253,0.032,0.943,0.026,6gBq0VVwM5g
218,0.0,0.0,1.0,0.0,6heFzHvXXj8
219,-1.0,0.083,0.9,0.018,6iuAx37zEpY
220,0.9995,0.028,0.921,0.052,6jnEWA78KMs
221,0.9944,0.053,0.837,0.11,6ogH-sMTfRg
222,0.9874,0.036,0.899,0.065,6oihqyVvZ6Y
223,0.9999,0.028,0.821,0.15,6pMNHrnUFmQ
224,1.0,0.093,0.63,0.277,6tiD1za8jGw
225,-0.9981,0.058,0.902,0.039,6yT26_MPDS0
226,0.9254,0.019,0.962,0.019,6zg_1iG3HSA
227,-0.7527,0.02,0.965,0.014,72gDtrKWll0
228,0.9396,0.008,0.967,0.026,7504zQJJZAg
229,0.9965,0.028,0.937,0.035,76925U_yKLw
230,0.0,0.0,1.0,0.0,7A9iQ89wHAY
231,0.9624,0.016,0.958,0.026,7BnGzoUyK5E
232,0.6004,0.035,0.936,0.029,7F2Ed55FSro
233,0.7525,0.006,0.972,0.022,7Gn31r01We8
234,-0.9865,0.036,0.958,0.006,7Sd52OOMxVk
235,0.8963,0.015,0.961,0.024,7TV1ygGKTXA
236,0.6628,0.0,0.975,0.025,7U7F6xM9ja4
237,0.9997,0.026,0.918,0.057,7UB6mzkcYWs
238,-0.9998,0.119,0.828,0.053,7UkwNfTP4as
239,0.9997,0.015,0.938,0.046,7Wx-7TzGFI8
240,-0.9986,0.085,0.879,0.036,7X1Pok9VW1E
241,-0.9644,0.02,0.972,0.008,7Yzcmrkdzh8
242,-0.9914,0.074,0.914,0.012,7ZHC4F_b8is
243,0.9998,0.057,0.73,0.213,7beZU4Tj9fo
244,1.0,0.072,0.826,0.102,7c1FO8FT__U
245,0.9536,0.005,0.971,0.024,7cL2mMjqR8o
246,1.0,0.101,0.746,0.154,7fE5ljMUsAw
247,1.0,0.049,0.779,0.172,7hKTaDncNic
248,0.8453,0.0,0.998,0.002,7jAqeaXtIMw
249,-0.9996,0.1,0.89,0.01,7md20ogAHTI
250,0.8453,0.0,0.991,0.009,7nQZHyCFleQ
251,-0.987,0.088,0.882,0.03,7nuinKzCH8E
252,0.0,0.0,1.0,0.0,7pyttUjvGP0
253,0.994,0.004,0.943,0.053,7uD7sEY9-x4
254,0.9632,0.025,0.939,0.036,8482MAoEdyM
255,0.9987,0.012,0.827,0.16,88sdqOX4OI8
256,-0.997,0.068,0.906,0.026,89CY_9xsy50
257,-0.9898,0.031,0.954,0.015,89NF5COf1GU
258,-0.9818,0.105,0.817,0.079,8DJ_2qWrqs4
259,0.9997,0.06,0.714,0.226,8DdLKWwsvWw
260,0.9823,0.02,0.942,0.038,8DyweYGHMEk
261,0.9867,0.002,0.953,0.044,8ExSEdnVoBg
262,0.9998,0.042,0.683,0.275,8HwMdRaZI-g
263,0.9291,0.032,0.925,0.042,8JowvzS3CjE
264,0.0,0.0,1.0,0.0,8LM1Zk4kxG8
265,-0.9961,0.059,0.934,0.008,8O39_gmswE0
266,0.9994,0.014,0.866,0.12,8X3WhmX8mmk
267,1.0,0.074,0.761,0.165,8XkcbdSRdO0
268,0.9649,0.017,0.959,0.024,8Z-wA32NYSo
269,-0.9993,0.157,0.744,0.099,8dnCqf5e-Zw
270,0.988,0.014,0.929,0.057,8gHpAVxD-Io
271,0.6836,0.021,0.961,0.018,8jssbjZOTw0
272,-0.5466,0.002,0.998,0.0,8mYGBYP9rMQ
273,0.6836,0.0,0.994,0.006,8si2lvrfQUE
274,-0.9996,0.033,0.951,0.017,8tyzkyzkAi0
275,0.7527,0.009,0.968,0.023,8xZzh6-YD2s
276,0.9987,0.021,0.885,0.095,8yEZ1v9LzL8
277,0.9862,0.022,0.928,0.05,8yGxbJ3D61k
278,-0.9468,0.036,0.949,0.015,8zgtumHt3js
279,0.9982,0.013,0.904,0.083,8zyKt63DDQM
280,0.7482,0.0,0.994,0.006,91j04vt-WJM
281,0.8553,0.036,0.927,0.037,94io2X_HAtY
282,1.0,0.07,0.703,0.226,98MWcF_Ucs0
283,1.0,0.05,0.803,0.147,9BPQpOfbiRg
284,1.0,0.029,0.66,0.311,9CCACd2q4IY
285,-0.7293,0.009,0.991,0.0,9Cewh9DbX4A
286,1.0,0.022,0.81,0.168,9Czl7WghNJA
287,0.9532,0.017,0.936,0.047,9Ech47qPdHw
288,-0.9706,0.033,0.96,0.007,9H62SMCCYDs
289,-0.9439,0.171,0.687,0.142,9JnJpeBcz9M
290,-0.9989,0.116,0.873,0.012,9KbQw4wAOeg
291,-0.9789,0.033,0.952,0.014,9LD5jeNPJhs
292,0.9332,0.033,0.92,0.047,9LckWII7BD4
293,0.9684,0.008,0.951,0.041,9P_mro6oaD8
294,0.9887,0.018,0.931,0.051,9Qxkd6Rh40g
295,0.4885,0.019,0.944,0.037,9RMUVVEZVtQ
296,0.875,0.006,0.962,0.032,9SP7IuH81jY
297,1.0,0.043,0.764,0.194,9SwJ0Xo3Xls
298,1.0,0.049,0.799,0.153,9WtWSKAFMCQ
299,0.9998,0.029,0.817,0.154,9Z0z-2iK9j8
300,-0.9918,0.15,0.728,0.122,9afhwb6rIZw
301,0.9987,0.092,0.705,0.203,9iH_plNzWdE
302,-0.9984,0.117,0.852,0.03,9lqkDkxIbPw
303,0.982,0.024,0.917,0.059,9rm-bdnW4hE
304,-0.999,0.098,0.868,0.034,9s-AswxWh7A
305,0.9908,0.023,0.925,0.052,9vAbTuIDDh4
306,-0.9852,0.036,0.941,0.023,9wDOsSOppQI
307,0.9228,0.008,0.968,0.023,9xHIm9z9tEg
308,0.5205,0.023,0.958,0.02,9zYq850Oc1U
309,-1.0,0.153,0.712,0.136,A-_tj5sSKkc
310,0.9994,0.074,0.762,0.165,A2gnwh7qYCk
311,-0.9996,0.059,0.916,0.025,A3aolZrJF0Y
312,0.9939,0.014,0.907,0.079,A3usDrlnQQc
313,1.0,0.053,0.743,0.204,A4LD3LzHZjM
314,0.0,0.0,1.0,0.0,A69i9nEonUA
315,0.7293,0.0,0.993,0.007,A79C9asiewE
316,0.9974,0.021,0.868,0.111,AAvGwHpKiw0
317,0.9465,0.0,0.974,0.026,ABfc4Ko560I
318,0.9928,0.04,0.891,0.069,ABsABLDKLVQ
319,1.0,0.053,0.731,0.216,ABuG8hZqynI
320,-0.9939,0.088,0.84,0.072,AKB1dyXsTGM
321,0.9988,0.057,0.845,0.097,AKDal51f5LU
322,-0.9972,0.076,0.897,0.028,AQ-s2Uo3U_0
323,-0.9993,0.108,0.874,0.018,ATh30tUkpFM
324,0.0,0.0,1.0,0.0,AU76htKk3xg
325,0.5673,0.0,0.973,0.027,AZe4ysz1VR4
326,-0.9354,0.024,0.961,0.016,A_Jk9oNHZrc
327,0.0,0.0,1.0,0.0,Ac8cf-qWz8w
328,0.9987,0.059,0.831,0.11,AdPNAE0u40A
329,0.9676,0.027,0.904,0.069,Ae6CTQNKc14
330,1.0,0.039,0.805,0.156,AjMsxrbjn7M
331,0.9985,0.011,0.926,0.063,AjheC7hfc0o
332,0.0,0.0,1.0,0.0,ApoBycomPpg
333,0.9999,0.067,0.638,0.295,Ar5q5Y6vVPs
334,0.9798,0.0,0.863,0.137,AsSOX4Peu60
335,0.7121,0.0,0.997,0.003,AtFP4Py7yf0
336,0.0,0.0,1.0,0.0,AuCkNOiHoW8
337,-0.9989,0.07,0.906,0.025,AvrBFfWGrCk
338,-0.8388,0.004,0.996,0.0,B0Cm3bgwwvc
339,0.9976,0.1,0.744,0.156,B1vfdjTdUJM
340,-0.6935,0.003,0.997,0.0,B5hoKypkaHQ
341,0.9984,0.0,0.828,0.172,B8sMkjIJeTM
342,0.453,0.0,0.981,0.019,BBkMzlqpEoo
343,-0.9981,0.06,0.92,0.02,BDQPpa2IOaM
344,0.9014,0.024,0.942,0.034,BDeFFHszSaU
345,0.9991,0.039,0.872,0.089,BE20uv5rqN8
346,0.0,0.0,1.0,0.0,BF5DykrGMJY
347,0.9105,0.0,0.998,0.002,BF6Ln85YOMU
348,0.972,0.038,0.907,0.055,BH6bcVI68yA
349,-0.706,0.019,0.959,0.022,BJOvrdNkbtU
350,-0.9984,0.079,0.881,0.04,BNCTW5Pyqec
351,0.9908,0.002,0.945,0.053,BNms0yNsbOs
352,0.0,0.0,1.0,0.0,BPFxO3X1S0s
353,-0.9978,0.087,0.893,0.02,BPypXrUjqSU
354,0.9127,0.003,0.975,0.022,BQQPkvUpo7c
355,0.9826,0.02,0.906,0.073,BSNKfVogp54
356,-0.998,0.043,0.927,0.03,BTVb4PB9Ww0
357,0.9997,0.06,0.776,0.164,BU79EyMjIrU
358,0.9549,0.0,0.967,0.033,BVKzk46fO1Y
359,1.0,0.062,0.816,0.123,Ban8Aoj1NuU
360,0.982,0.01,0.931,0.059,BduzAgMOXms
361,-0.9959,0.086,0.871,0.043,BfIBDded_JQ
362,0.0,0.0,1.0,0.0,Bg5sGvUoCHw
363,0.9996,0.014,0.737,0.25,BgGa8mmf_Uk
364,0.9684,0.01,0.957,0.034,BgN1XOrxgK4
365,0.9994,0.009,0.946,0.045,BjZlPMH5HiA
366,0.9994,0.032,0.814,0.154,BkxeOMX-Wms
367,0.9876,0.019,0.915,0.066,BsZSuCeD8Wo
368,-0.9769,0.098,0.812,0.09,BtR4mH3ZvcM
369,0.9999,0.002,0.881,0.117,Bu412i99H9A
370,0.9996,0.102,0.748,0.15,BuAURiD4Wmw
371,-0.7156,0.005,0.993,0.002,BvgUS87z8wQ
372,0.0,0.0,1.0,0.0,C-78P1SfVVY
373,-0.844,0.055,0.899,0.046,C1qt5nbH0SM
374,0.9995,0.015,0.864,0.121,C2QMwtmiq5c
375,0.9967,0.022,0.903,0.074,C2X1KnvYhNw
376,0.0,0.0,1.0,0.0,C7Gidc4eiio
377,0.0,0.0,1.0,0.0,C8Xi0IVOGJs
378,0.0,0.0,1.0,0.0,CA2vJ5l8qow
379,0.0,0.0,1.0,0.0,CBo4LeQrFXs
380,0.9892,0.019,0.908,0.073,CCHQFi9Mjz4
381,0.9542,0.02,0.948,0.032,CCqxzgzrdCE
